Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewNode.cs	677		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBox' and no accessible extension method 'InputBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewNode.cs	716		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewNode.cs	725		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewNode.cs	780		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBox' and no accessible extension method 'InputBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewRootNode.cs	179		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewRootNode.cs	220		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'LoadFileDialog' and no accessible extension method 'LoadFileDialog' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewRootNode.cs	238		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewRootNode.cs	276		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'InputBox' and no accessible extension method 'InputBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewRootNode.cs	295		
Error (active)	CS1061	'IDialogManager' does not contain a definition for 'MsgBox' and no accessible extension method 'MsgBox' accepting a first argument of type 'IDialogManager' could be found (are you missing a using directive or an assembly reference?)	TheTechIdea.Beep.TreeNodes (net10.0), TheTechIdea.Beep.TreeNodes (net8.0), TheTechIdea.Beep.TreeNodes (net9.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.Branchs\TheTechIdea.Beep.TreeNodes\DataViews\DataViewRootNode.cs	346		
